Account ID,Event,Timestamp,Page URL,Button Label
83,Button Clicked,2022-03-15T00:18:25,,Invite
83,Page Viewed,2022-03-15T00:20:48,www.piespace.example/invite,
83,Page Viewed,2022-03-15T00:20:48,www.piespace.example/home,
83,Page Viewed,2022-03-15T00:25:26,www.piespace.example/home,
83,Page Viewed,2022-03-15T00:26:00,www.piespace.example/invite,
83,Page Viewed,2022-03-15T00:26:00,www.piespace.example/pies,
83,Page Viewed,2022-03-15T00:43:18,www.piespace.example/pies,
217,Page Viewed,2022-03-15T00:43:54,www.piespace.example/help,
478,Page Viewed,2022-03-15T01:16:39,www.piespace.example/home,
738,Page Viewed,2022-03-15T01:51:43,www.piespace.example/invite,
738,Page Viewed,2022-03-15T02:06:01,www.piespace.example/login,
200,Page Viewed,2022-03-15T02:07:37,www.piespace.example/login,
738,Page Viewed,2022-03-15T02:09:41,www.piespace.example/home,
24,Button Clicked,2022-03-15T02:12:28,,Invite
24,Page Viewed,2022-03-15T02:13:19,www.piespace.example/invite,
200,Page Viewed,2022-03-15T02:14:21,www.piespace.example/invite,
10,Page Viewed,2022-03-15T02:53:56,www.piespace.example/pies,
12,Page Viewed,2022-03-15T02:57:50,www.piespace.example/login,
31,Button Clicked,2022-03-15T02:58:29,,Create Item
31,Button Clicked,2022-03-15T02:58:40,,Signup
31,Button Clicked,2022-03-15T02:58:50,,Create Item
31,Button Clicked,2022-03-15T02:59:31,,Subscribe
31,Button Clicked,2022-03-15T02:59:43,,Invite
31,Button Clicked,2022-03-15T02:59:52,,Subscribe
31,Button Clicked,2022-03-15T02:59:59,,Signup
31,Page Viewed,2022-03-15T03:00:51,www.piespace.example/help,
12,Page Viewed,2022-03-15T03:01:19,www.piespace.example/help,
31,Page Viewed,2022-03-15T03:06:51,www.piespace.example/pies,
10,Page Viewed,2022-03-15T03:06:57,www.piespace.example/home,
31,Page Viewed,2022-03-15T03:07:39,www.piespace.example/help,
31,Page Viewed,2022-03-15T03:10:46,www.piespace.example/login,
31,Page Viewed,2022-03-15T03:11:30,www.piespace.example/invite,
31,Page Viewed,2022-03-15T03:12:35,www.piespace.example/login,
31,Page Viewed,2022-03-15T03:16:34,www.piespace.example/invite,
10,Page Viewed,2022-03-15T03:29:55,www.piespace.example/invite,
10,Page Viewed,2022-03-15T03:37:24,www.piespace.example/invite,
200,Page Viewed,2022-03-15T04:14:52,www.piespace.example/pies,
200,Page Viewed,2022-03-15T04:14:52,www.piespace.example/help,
200,Page Viewed,2022-03-15T04:15:47,www.piespace.example/help,
216,Page Viewed,2022-03-15T04:17:53,www.piespace.example/home,
12,Page Viewed,2022-03-15T04:18:14,www.piespace.example/invite,
156,Button Clicked,2022-03-15T04:19:52,,Subscribe
200,Page Viewed,2022-03-15T04:40:07,www.piespace.example/invite,
156,Page Viewed,2022-03-15T04:40:34,www.piespace.example/login,
12,Page Viewed,2022-03-15T04:42:22,www.piespace.example/home,
