Account ID,Payment,Expected Invoice,Plan,Date Received
36,295,TRUE,Basic,9/30/20
28,295,TRUE,Basic,9/30/20
244,295,TRUE,Basic,10/26/20
203,295,TRUE,Basic,10/27/20
164,295,TRUE,Basic,10/28/20
81,295,TRUE,Basic,10/29/20
63,295,TRUE,Basic,10/29/20
90,295,TRUE,Basic,10/29/20
80,295,TRUE,Basic,10/29/20
103,295,TRUE,Basic,10/29/20
36,295,TRUE,Basic,10/30/20
28,295,TRUE,Basic,10/30/20
327,295,TRUE,Basic,11/24/20
314,875,TRUE,Premium,11/24/20
244,295,TRUE,Basic,11/26/20
187,295,TRUE,Basic,11/27/20
203,295,TRUE,Basic,11/27/20
132,295,TRUE,Basic,11/28/20
120,295,TRUE,Basic,11/28/20
164,295,TRUE,Basic,11/28/20
90,329.8,TRUE,Basic,11/29/20
103,295,TRUE,Basic,11/29/20
63,295,TRUE,Basic,11/29/20
81,295,TRUE,Basic,11/29/20
80,515.4,TRUE,Basic,11/29/20
43,295,TRUE,Basic,11/30/20
28,295,TRUE,Basic,11/30/20
36,295,TRUE,Basic,11/30/20
327,295,TRUE,Basic,12/24/20
314,875,TRUE,Premium,12/24/20
244,295,TRUE,Basic,12/26/20
203,295,TRUE,Basic,12/27/20
187,295,TRUE,Basic,12/27/20
120,295,TRUE,Basic,12/28/20
132,295,TRUE,Basic,12/28/20
164,295,TRUE,Basic,12/28/20
92,295,TRUE,Basic,12/29/20
81,295,TRUE,Basic,12/29/20
80,483.5,TRUE,Basic,12/29/20
63,295,TRUE,Basic,12/29/20
103,295,TRUE,Basic,12/29/20
90,413.9,TRUE,Basic,12/29/20
43,295,TRUE,Basic,12/30/20
53,295,TRUE,Basic,12/30/20
36,295,TRUE,Basic,12/30/20
28,295,TRUE,Basic,12/30/20
314,875,TRUE,Premium,1/24/21
327,295,TRUE,Basic,1/24/21
334,295,TRUE,Basic,1/24/21
244,295,TRUE,Basic,1/26/21
191,295,TRUE,Basic,1/27/21
203,295,TRUE,Basic,1/27/21
187,295,TRUE,Basic,1/27/21
135,295,TRUE,Basic,1/28/21
132,295,TRUE,Basic,1/28/21
164,295,TRUE,Basic,1/28/21
120,561.8,TRUE,Basic,1/28/21
63,295,TRUE,Basic,1/29/21
92,295,TRUE,Basic,1/29/21
